index,text,true_label,predicted_label,true_idx,pred_idx,dataset,model,model_label,accuracy,macro_f1
3,"Prediction Unit Helps Forecast Wildfires (AP) AP - It's barely dawn when Mike Fitzpatrick starts his shift with a blur of colorful maps, figures and endless charts, but already he knows what the day will bring. Lightning will strike in places he expects. Winds will pick up, moist places will dry and flames will roar.",Sci/Tech,Sports,3,1,ag_news,tfidf_lr,worst,0.9207894736842105,0.920602670741164
20,"IBM to hire even more new workers By the end of the year, the computing giant plans to have its biggest headcount since 1991.",Sci/Tech,Business,3,2,ag_news,tfidf_lr,worst,0.9207894736842105,0.920602670741164
23,"Some People Not Eligible to Get in on Google IPO Google has billed its IPO as a way for everyday people to get in on the process, denying Wall Street the usual stranglehold it's had on IPOs. Public bidding, a minimum of just five shares, an open process with 28 underwriters - all this pointed to a new level of public participation. But this isn't the case.",Sci/Tech,Business,3,2,ag_news,tfidf_lr,worst,0.9207894736842105,0.920602670741164
24,"Rivals Try to Turn Tables on Charles Schwab By MICHAEL LIEDTKE     SAN FRANCISCO (AP) -- With its low prices and iconoclastic attitude, discount stock broker Charles Schwab Corp. (SCH) represented an annoying stone in Wall Street's wing-tipped shoes for decades...",Sci/Tech,Business,3,2,ag_news,tfidf_lr,worst,0.9207894736842105,0.920602670741164
36,Venezuela Prepares for Chavez Recall Vote Supporters and rivals warn of possible fraud; government says Chavez's defeat could produce turmoil in world oil market.,World,Business,0,2,ag_news,tfidf_lr,worst,0.9207894736842105,0.920602670741164
79,Live: Olympics day four Richard Faulds and Stephen Parry are going for gold for Great Britain on day four in Athens.,World,Sports,0,1,ag_news,tfidf_lr,worst,0.9207894736842105,0.920602670741164
83,"Intel to delay product aimed for high-definition TVs SAN FRANCISCO -- In the latest of a series of product delays, Intel Corp. has postponed the launch of a video display chip it had previously planned to introduce by year end, putting off a showdown with Texas Instruments Inc. in the fast-growing market for high-definition television displays.",Business,Sci/Tech,2,3,ag_news,tfidf_lr,worst,0.9207894736842105,0.920602670741164
106,"Stocks Climb on Drop in Consumer Prices NEW YORK - Stocks rose for a second straight session Tuesday as a drop in consumer prices allowed investors to put aside worries about inflation, at least for the short term.    With gasoline prices falling to eight-month lows, the Consumer Price Index registered a small drop in July, giving consumers a respite from soaring energy prices...",World,Business,0,2,ag_news,tfidf_lr,worst,0.9207894736842105,0.920602670741164
110,Yahoo! Ups Ante for Small Businesses Web giant Yahoo! is gambling that price cuts on its domain name registration and Web hosting products will make it more competitive with discounters in the space -- which means that small businesses looking to move online get a sweeter deal through ...,Business,Sci/Tech,2,3,ag_news,tfidf_lr,worst,0.9207894736842105,0.920602670741164
120,"Oil prices bubble to record high The price of oil has continued its sharp rise overnight, closing at a record high. The main contract in New York, light sweet crude for delivery next month, has closed at a record \$US46.75 a barrel - up 70 cents on yesterday #39;s close.",World,Business,0,2,ag_news,tfidf_lr,worst,0.9207894736842105,0.920602670741164
126,Security scare as intruder dives in A CANADIAN husband #39;s love for his wife has led to a tightening of security at all Olympic venues in Athens.,Sports,World,1,0,ag_news,tfidf_lr,worst,0.9207894736842105,0.920602670741164
154,"Google Lowers Its IPO Price Range SAN JOSE, Calif. - In a sign that Google Inc.'s initial public offering isn't as popular as expected, the company lowered its estimated price range to between \$85 and \$95 per share, down from the earlier prediction of \$108 and \$135 per share...",World,Business,0,2,ag_news,tfidf_lr,worst,0.9207894736842105,0.920602670741164
