index,text,true_label,predicted_label,true_idx,pred_idx,dataset,model,model_label,accuracy,macro_f1
12,"There were times when this movie seemed to get a whole lot more complicated than it needed to be, but I guess that's part of it's charm. Detective Philo Vance's powers of observation seem greater than all the Oriental sleuths of the era combined when it comes down to that final evaluation of how the murders were committed. The dropping of the dagger into the Chinese vase was the kicker for me; I mean, couldn't somebody have just dropped it? <br /><br />Vance (William Powell) had a line early in ",Positive,Negative,1,0,imdb,tfidf_lr,worst,0.8764,0.8763498782857742
28,"This tiresome, plodding Las Vegas casino heist movie in almost impossible to watch and get involved in. It's something you 'look at' if you have absolutely nothing else better to do. The only two decent things in this movie are both attached to gorgeous Stella Stevens and one spends the entire program hoping she'll fall out of one of those skimpy tops she wears. Many great shots of mid-70s Las Vegas (when it was still a cool place to visit) and the fashions of the day are good for a giggle as we",Negative,Positive,0,1,imdb,tfidf_lr,worst,0.8764,0.8763498782857742
37,"I had never seen the original Death Wish in the book either Death Wish I (film). However, Death Wish 3 was the very interested film. The well-known vigilante, Paul Kersey tried to visit his friend, Charlie but he only visited him for a couple of minutes before he died, because of Charlie didn't pay the protection to the huge and infamous underground gang leaded by Manny Franker. After some altercation during his time in jail, Kersey learned that Franker, who he fought with in jail had his own ag",Positive,Negative,1,0,imdb,tfidf_lr,worst,0.8764,0.8763498782857742
41,"This is just as good as the original 101 if not better. Of course, Cruella steals the show with her outrageous behaviour and outfits, and the movie was probably made because the public wanted to see more of Cruella. We see a lot more of her this time round. I also like Ioan Gruffudd as Kevin, the rather bumbling male lead. To use Paris as the climax of the movie was a clever idea. The movie is well worth watching whatever your age, provided you like animals.",Positive,Negative,1,0,imdb,tfidf_lr,worst,0.8764,0.8763498782857742
45,"Just watched it on the Hallmark Channel. I was surprised to John Denver! This movie was full of clichés, but that is to be expected (a made for TV Christmas movie- come on!) The acting is as good as any other '80's made for TV movie. The story is, as I said before, predictable and cliché, but still good. If you are looking for a campy Christmas movie, it will certainly scratch your itch.<br /><br />I was also pleased when I learned that it took place in Georgetown, Colorado. It is a real mountai",Positive,Negative,1,0,imdb,tfidf_lr,worst,0.8764,0.8763498782857742
50,"(Some Spoilers) PRC quickie that has J. Carrol Naish playing Dr. Igor Markoff who's not really Dr. Karkoff but an impostor who took over his identity back in Europe. <br /><br />The real Dr. Karkoff had a affair with Dr.Markoff's wife that lead to him to murder the real Dr.Markoff and then having his wife Lenore infected with acromegaly that made her look like the ""Elephant Man's"" sister. This was done so that no one would ever want to look at her and he could keep Lenore all to himself; but the",Negative,Positive,0,1,imdb,tfidf_lr,worst,0.8764,0.8763498782857742
59,"This is one of the most guilty pleasure movies ever!<br /><br />I am embarrassed to say that my favorite character is TISH, but still enjoy watching her make her space outfit ""like super cool"" with a ""like totally bitchin"" belt and stick on rhinestones on her face.<br /><br />But anyways, the movie is actually one of the few ""family"" movies that holds your interest. I know that the begining drags, particuarly if you know what is going to happen, but the second half is probably one of the most ne",Positive,Negative,1,0,imdb,tfidf_lr,worst,0.8764,0.8763498782857742
62,"If I had not read Pat Barker's 'Union Street' before seeing this film, I would have liked it. Unfortuntately this is not the case. It is actually my kind of film, it is well made, and in no way do I want to say otherwise, but as an adaptation, it fails from every angle.<br /><br />The harrowing novel about the reality of living in a northern England working-class area grabbed hold of my heartstrings and refused to let go for weeks after I had finished. I was put through tears, repulsion, shock, ",Negative,Positive,0,1,imdb,tfidf_lr,worst,0.8764,0.8763498782857742
63,"Lillian Hellman's play, adapted by Dashiell Hammett with help from Hellman, becomes a curious project to come out of gritty Warner Bros. Paul Lukas, reprising his Broadway role and winning the Best Actor Oscar, plays an anti-Nazi German underground leader fighting the Fascists, dragging his American wife and three children all over Europe before finding refuge in the States (via the Mexico border). They settle in Washington with the wife's wealthy mother and brother, though a boarder residing in",Negative,Positive,0,1,imdb,tfidf_lr,worst,0.8764,0.8763498782857742
68,A question for you : A family go to a new house and get stalked by demonic forces . Which film am I talking about ? Every horror film you`ve seen ? Yes that`s true but that`s not the answer I`m looking for . I`ll narrow it down by saying there`s a lot of teen angst scenes . Doesn`t help ? Well there`s lots of bits where the characters are stalked by a creature and you see the characters through the creature`s POV . No futher forward ? Okay there`s a dream sequence involving lots of blood ? Could,Negative,Positive,0,1,imdb,tfidf_lr,worst,0.8764,0.8763498782857742
85,"Contrary to another reviewer, I think that this is WELL-written, especially the more fictional it is, because greater imagination would be required; and well acted, because there were no other characters with whom to share the focus of these dozen-minutes-plus, well-done monologues. But I'm just not entertained by such solemn, pious rememberances. Everybody has a story to tell and some are more interesting than others. Everybody has problems and some are more intense than others. These are just ",Negative,Positive,0,1,imdb,tfidf_lr,worst,0.8764,0.8763498782857742
89,"Nurse Charlotte Beale(the lovely Rosie Holotik)has arrived to Dr. Stephens' clinic for the insane prepared for a new job. What she doesn't expect is to find another supposed doctor in his position after Stephens is attacked by axe-wielding maniacal ""judge"" Oliver W Cameron(..in a running gag, anytime he confronts a situation out of his control, he retreats to repeating his name). That doctor is Geraldine Masters(Annabelle Weenick)who isn't sure about whether Beale is a proper fit for their estab",Positive,Negative,1,0,imdb,tfidf_lr,worst,0.8764,0.8763498782857742
105,"The main portion of this lightweight musical story is located at fictional Midwick College, which Peter Kendricks (Peter Lind Hayes) attends due to the largesse of stage actress Grace Hayes, his real-life mother who fills the same role here, and who manages to supply his love interest through her secretary Mary (Healy) who is his real-life wife. Drably directed from a weak script, and additionally hampered by excessive cutting and poor editing, this film does provide some treasures among its eig",Negative,Positive,0,1,imdb,tfidf_lr,worst,0.8764,0.8763498782857742
106,"This is a film of immense appeal to a relatively well-defined group (of which I am not a part). I went to a preview of this movie not knowing what to expect - I ultimately found it disappointing. The history of a dreadfully dysfunctional (oftentimes downright ""twisted"") Hungarian Jewish family is not my cup of tea. An epic saga like this should really provide its viewers with something more in the end. Ultimately, pictures such as this are about the human condition - this picture cast almost no ",Negative,Positive,0,1,imdb,tfidf_lr,worst,0.8764,0.8763498782857742
109,Well we definitely did see and I and many other people were actually expecting worse. It did have some good parts too it that I was not expecting it still did fail in other areas though.<br /><br />First off the acting was above average. I love Phillip Seymour Hoffman in this movie and I liked Tom Hanks. Hoffman was the glue to this movie. If it were not for him this movie would have crumbled and hit rock bottom. His performance was by no means stunning but absolutely necessary. He gave a good w,Positive,Negative,1,0,imdb,tfidf_lr,worst,0.8764,0.8763498782857742
110,"Why do they insist on making re-makes of great movies like ""High Noon"" ""From Here to Eternity"" and this one?<br /><br />Why do they think that color is more engrossing to a viewer than stark black and white?<br /><br />Why did Robert's insist on wearing that dopey, broad-billed, baseball cap?...it made him look like Jim Varney.<br /><br />Why would anyone spend four hours suffering through this?<br /><br />Watch the original. Then YOU won't have to ask yourself WHY.",Negative,Positive,0,1,imdb,tfidf_lr,worst,0.8764,0.8763498782857742
112,"I saw this film shortly after watching Moonlight & Valentino with Elizabeth Perkins, Gwyneth Platrow, Whoopi Goldberg and Kathleen Turner. There are a lot of similarities between the two films. They both have great casts and good acting. They both have stock characters of sisters who are very different, an offensive stepmother, a woman friend/confidant, an emotionally unavailable father, a dead mother and a surprise lover. Both films have the characters experience life-changing realizations and ",Negative,Positive,0,1,imdb,tfidf_lr,worst,0.8764,0.8763498782857742
136,"I am quite a fan of novelist/screenwriter Michael Chabon. His novel ""Wonder Boys"" became a fantastic movie by Curtis Hanson. His masterful novel ""The Amazing Adventures of Kavalier and Clay"" won the Pulitzer Prize a few years back, and he had a hand in the script of ""Spider Man 2"", arguably the greatest comic book movie of all time.<br /><br />Director Rawson Marshall Thurber has also directed wonderful comedic pieces, such as the gut-busting ""Dodgeball"" and the genius short film series ""Terry T",Negative,Positive,0,1,imdb,tfidf_lr,worst,0.8764,0.8763498782857742
138,"Three Stooges - Have Rocket, Will Travel - 1959 This was the first feature length film to star the Stooges and it is pretty bad. It makes THE THREE STOOGES GO AROUND THE WORLD IN A DAZE (from 1963) look like a masterpiece.<br /><br />The Stooges are janitors at a rocket place. They climb into a rocket and it goes to Venus. They meet some stuff there including a talking unicorn they call ""Uni"" which they bring back to Earth with them. ""Uni"" speaks like an average, pleasant person - 'Oh, hello. Ho",Negative,Positive,0,1,imdb,tfidf_lr,worst,0.8764,0.8763498782857742
139,"Following the advice of a friend, I got myself this movie. I'm very fond of computers in general - hence why a 1995 film about identity theft on the Internet could not be left unseen. I had some bad echoes about it, but in the end, I wasn't so disappointed : the story, though classical, is kind of interesting and must have been really new back in the days when it was released in theatres. I was gladly surprised when I figured out that contrary to what we usually see, computer-performed actions a",Positive,Negative,1,0,imdb,tfidf_lr,worst,0.8764,0.8763498782857742
147,"Please, help the economy - spend your money elsewhere! The synopsis of the movie is: the First Lady has her husband assassinated because he was cheating on her. That's it. Undetected by anyone, except Cuba and Angie, she designs and implements a vast assassination conspiracy which no one knows about...and gets away completely free.<br /><br />Some specific points are particularly hilarious: While standing in front of the president, Cuba a deflects the assassin's bullet...which then enters the ba",Negative,Positive,0,1,imdb,tfidf_lr,worst,0.8764,0.8763498782857742
152,"In 2004, I liked it. Then it became very stupid. It suggests that kids are brainless. It insults children. Cartoon Network used to be great. One of the shows I liked was Hamtaro. It did manage to be interesting and imaginative in its approach to children programming. The show (Foster's Home for Imaginary Friends) is like putting 20 spoons of sugar in your Sprite. It seems as if today's television producers are only interested in making money, rather than engaging the imaginations of children and",Negative,Positive,0,1,imdb,tfidf_lr,worst,0.8764,0.8763498782857742
