index,text,true_label,predicted_label,true_idx,pred_idx,dataset,model,model_label,accuracy,macro_f1
12,"There were times when this movie seemed to get a whole lot more complicated than it needed to be, but I guess that's part of it's charm. Detective Philo Vance's powers of observation seem greater than all the Oriental sleuths of the era combined when it comes down to that final evaluation of how the murders were committed. The dropping of the dagger into the Chinese vase was the kicker for me; I mean, couldn't somebody have just dropped it? <br /><br />Vance (William Powell) had a line early in ",Positive,Negative,1,0,imdb,tfidf_svm,best,0.9050666666666667,0.905064479352271
17,"Guys, what can I tell you? I'm Bulgarian. I can't remember how many times I talk to Americans and let alone that they don't have a slightest clue where is Bulgaria, but they say things like: ""There's a war going on there, right?"" or ""I've never imagined that in a place like Bulgaria people have Internet"" Go watch Bruce Campbell's ""The Man With The Screaming Brain"". I was curious about this movie, cause 1) I'm Bruce Campbell fan - ""Evil Dead"" trilogy and ""The Adventures of Brisco County Jr."" 2) T",Negative,Positive,0,1,imdb,tfidf_svm,best,0.9050666666666667,0.905064479352271
34,"The NYT review says that Sigourney Weaver's character is taut and frustrated, and, later, that she could be the sister of MTM's character in Ordinary People. Say, WHAT? No way. This lady was quirky from the start. NOTHING like MTM in Ordinary People. Sorry.<br /><br />Next, the NYT goes on to say that Sigourney Weaver's Sandy Travis and Jeff Daniel's Ben Travis are 40-something year olds, ""children of the 60s."" Ms Weaver must be dancing a jig. I believe at the time she made Imaginary Heroes she ",Positive,Negative,1,0,imdb,tfidf_svm,best,0.9050666666666667,0.905064479352271
41,"This is just as good as the original 101 if not better. Of course, Cruella steals the show with her outrageous behaviour and outfits, and the movie was probably made because the public wanted to see more of Cruella. We see a lot more of her this time round. I also like Ioan Gruffudd as Kevin, the rather bumbling male lead. To use Paris as the climax of the movie was a clever idea. The movie is well worth watching whatever your age, provided you like animals.",Positive,Negative,1,0,imdb,tfidf_svm,best,0.9050666666666667,0.905064479352271
48,"one of the best low budget movies from Germany! is this is the dark side of new age? if you believe in esoteric, please don't watch this movie! it blows all your positive fantasies away. this movie shows that beyond the peaceful façade of spiritual soul searching lies a world of extreme transgressions and terror. i hope there will be a 35 mm copy soon! Andreas Marschall's first film is just the beginning of a new area, making movies with a few euros! i'm waiting for the second hit!",Positive,Negative,1,0,imdb,tfidf_svm,best,0.9050666666666667,0.905064479352271
56,"Elephant Walk (1954) Starring an early Peter Finch as lord of the manor in some God-forsaken plantation where there is always the danger of elephants or mad Englishmen, staying out in the midday sun and going berserk. Well eventually they do, after the typhoid or cholera outbreak, of course, and much mayhem ensues. Taylor replaced an ailing Vivien Leigh in this pot boiler/adventure flick. When the elephants storm the house and trap Liz on the grand staircase I still get goose bumps. Thank goodne",Positive,Negative,1,0,imdb,tfidf_svm,best,0.9050666666666667,0.905064479352271
62,"If I had not read Pat Barker's 'Union Street' before seeing this film, I would have liked it. Unfortuntately this is not the case. It is actually my kind of film, it is well made, and in no way do I want to say otherwise, but as an adaptation, it fails from every angle.<br /><br />The harrowing novel about the reality of living in a northern England working-class area grabbed hold of my heartstrings and refused to let go for weeks after I had finished. I was put through tears, repulsion, shock, ",Negative,Positive,0,1,imdb,tfidf_svm,best,0.9050666666666667,0.905064479352271
79,"""True"" story of three girls who go into the wilds of Connecticut and end up hunted by a maniac in the woods. This is the sort of film that would have played in the drive ins across America thirty years ago to mixed acclaim. Not particularly much of anything the film works with its low budget to mixed results. The film is watchable but isn't at all scary (blame how some of the attack scenes for that). Its the sort of film that you'll probably forget about once you're done with it. Odds are that y",Negative,Positive,0,1,imdb,tfidf_svm,best,0.9050666666666667,0.905064479352271
85,"Contrary to another reviewer, I think that this is WELL-written, especially the more fictional it is, because greater imagination would be required; and well acted, because there were no other characters with whom to share the focus of these dozen-minutes-plus, well-done monologues. But I'm just not entertained by such solemn, pious rememberances. Everybody has a story to tell and some are more interesting than others. Everybody has problems and some are more intense than others. These are just ",Negative,Positive,0,1,imdb,tfidf_svm,best,0.9050666666666667,0.905064479352271
95,"""Dance, Fools, Dance"" is an early Crawford-Gable vehicle from 1931. Crawford plays a Bonnie Jordan, a wealthy young woman whose life consists of parties, booze, and stripping off her clothes to jump from a yacht and go swimming. This all ends when her father dies and leaves her and her brother (William Blakewell) penniless. Bonnie gets a job on a newspaper using the name Mary Smith; her brother goes to work for bootleggers. The head man is Jake Luva - portrayed by Clark Gable as he plays yet ano",Positive,Negative,1,0,imdb,tfidf_svm,best,0.9050666666666667,0.905064479352271
109,Well we definitely did see and I and many other people were actually expecting worse. It did have some good parts too it that I was not expecting it still did fail in other areas though.<br /><br />First off the acting was above average. I love Phillip Seymour Hoffman in this movie and I liked Tom Hanks. Hoffman was the glue to this movie. If it were not for him this movie would have crumbled and hit rock bottom. His performance was by no means stunning but absolutely necessary. He gave a good w,Positive,Negative,1,0,imdb,tfidf_svm,best,0.9050666666666667,0.905064479352271
117,Nelson is a medical professor who wants his four students to put him to death and then bring him back to life so that he can prove that there is an afterlife. So they do and soon enough all of the medical students want to know if there is life after death. The afterlife isn't about pearly gates and lights at the end of the tunnel but something more sinister.<br /><br />Past ghosts come back to haunt them and surely this movie will haunt anyone. It has some pretty scary moments that could transla,Positive,Negative,1,0,imdb,tfidf_svm,best,0.9050666666666667,0.905064479352271
118,"I will always have a soft spot for this Disney flick, another of their part live action/part animation entries that sought to recreate the success of ""Mary Poppins"" and never quite made it. When I was in grade school, every once in a while we would have a movie day, where the whole school would crowd into the cafeteria, and a movie would be projected the old-fashioned way, multiple reels and all. At the time, it seemed like a momentous occasion whenever this day arrived, and ""Bedknobs and Brooms",Positive,Negative,1,0,imdb,tfidf_svm,best,0.9050666666666667,0.905064479352271
136,"I am quite a fan of novelist/screenwriter Michael Chabon. His novel ""Wonder Boys"" became a fantastic movie by Curtis Hanson. His masterful novel ""The Amazing Adventures of Kavalier and Clay"" won the Pulitzer Prize a few years back, and he had a hand in the script of ""Spider Man 2"", arguably the greatest comic book movie of all time.<br /><br />Director Rawson Marshall Thurber has also directed wonderful comedic pieces, such as the gut-busting ""Dodgeball"" and the genius short film series ""Terry T",Negative,Positive,0,1,imdb,tfidf_svm,best,0.9050666666666667,0.905064479352271
152,"In 2004, I liked it. Then it became very stupid. It suggests that kids are brainless. It insults children. Cartoon Network used to be great. One of the shows I liked was Hamtaro. It did manage to be interesting and imaginative in its approach to children programming. The show (Foster's Home for Imaginary Friends) is like putting 20 spoons of sugar in your Sprite. It seems as if today's television producers are only interested in making money, rather than engaging the imaginations of children and",Negative,Positive,0,1,imdb,tfidf_svm,best,0.9050666666666667,0.905064479352271
